src_LOGCode,nbr_LOGCode,src_Avg_Buiding_Size,nbr_Avg_Buiding_Size,src_Inventory,nbr_Inventory,LENGTH,NODE_COUNT
LOG-LOSA-65,LOG-LOSA-89,0,0,0,0,0.056651405,0
LOG-LOSA-66,LOG-LOSA-46,67578,108129,202734,3568271,0,9
LOG-LOSA-66,LOG-LOSA-65,67578,0,202734,0,2.00E-06,0
LOG-LOSA-67,LOG-LOSA-36,92637,117546,1019005,10461584,0,4
LOG-LOSA-69,LOG-LOSA-04,44919,79351,179675,317405,0.09229818,0
LOG-LOSA-69,LOG-LOSA-52,44919,79062,179675,158125,0.023271559,0
LOG-LOSA-70,LOG-LOSA-24,109249,98250,7975191,9825026,0.019652235,0
LOG-LOSA-70,LOG-LOSA-71,109249,95870,7975191,191739,0.032265435,0
LOG-LOSA-70,LOG-LOSA-79,109249,118934,7975191,14509976,0,5
LOG-LOSA-71,LOG-LOSA-0A,95870,162027,191739,1782301,0,4
LOG-LOSA-71,LOG-LOSA-24,95870,98250,191739,9825026,0,2
LOG-LOSA-71,LOG-LOSA-29,95870,204209,191739,612626,0,1
LOG-LOSA-71,LOG-LOSA-30,95870,90125,191739,720997,0,1
LOG-LOSA-71,LOG-LOSA-41,95870,66759,191739,600833,0.020841504,0
LOG-LOSA-71,LOG-LOSA-79,95870,118934,191739,14509976,0,2
LOG-LOSA-72,LOG-LOSA-36,135188,117546,22441252,10461584,9.97E-07,0
LOG-LOSA-72,LOG-LOSA-67,135188,92637,22441252,1019005,0.041017468,0
LOG-LOSA-73,LOG-LOSA-26,43000,121121,129000,3997000,0,2
LOG-LOSA-74,LOG-LOSA-50,170074,113999,3061331,7979936,0,2
LOG-LOSA-75,LOG-LOSA-04,189580,79351,16683067,317405,0.041426937,0
LOG-LOSA-75,LOG-LOSA-25,189580,92257,16683067,2121912,0,2
LOG-LOSA-75,LOG-LOSA-48,189580,88739,16683067,6655435,0,3
LOG-LOSA-76,LOG-LOSA-04,109884,79351,5494210,317405,0,9
LOG-LOSA-76,LOG-LOSA-48,109884,88739,5494210,6655435,0,6
LOG-LOSA-76,LOG-LOSA-50,109884,113999,5494210,7979936,0.044880492,0
LOG-LOSA-77,LOG-LOSA-19,97310,85069,3503148,6210051,0.084566672,0
LOG-LOSA-77,LOG-LOSA-33,97310,82285,3503148,2139409,0.065915212,0
LOG-LOSA-77,LOG-LOSA-84,97310,92002,3503148,184003,3.41E-05,0
LOG-LOSA-78,LOG-LOSA-43,94613,53203,5582183,53203,0.056194943,0
LOG-LOSA-79,LOG-LOSA-53,118934,80212,14509976,1363597,0.071510827,0
LOG-LOSA-79,LOG-LOSA-72,118934,135188,14509976,22441252,0,4
LOG-LOSA-81,LOG-LOSA-07,133193,244146,7725201,1953171,0,2
LOG-LOSA-81,LOG-LOSA-54,133193,64209,7725201,1027350,0,2
LOG-LOSA-81,LOG-LOSA-83,133193,150126,7725201,14862476,0.03678214,0
LOG-LOSA-82,LOG-LOSA-54,72621,64209,1525047,1027350,0,2
LOG-LOSA-82,LOG-LOSA-59,72621,75707,1525047,1135612,0,2
LOG-LOSA-82,LOG-LOSA-60,72621,78296,1525047,1174444,0,5
LOG-LOSA-82,LOG-LOSA-70,72621,109249,1525047,7975191,0.015502158,0
LOG-LOSA-82,LOG-LOSA-79,72621,118934,1525047,14509976,2.58E-06,0
LOG-LOSA-83,LOG-LOSA-24,150126,98250,14862476,9825026,0,2
LOG-LOSA-83,LOG-LOSA-41,150126,66759,14862476,600833,0,6
LOG-LOSA-83,LOG-LOSA-54,150126,64209,14862476,1027350,0,3
LOG-LOSA-83,LOG-LOSA-82,150126,72621,14862476,1525047,0,1
LOG-LOSA-84,LOG-LOSA-33,92002,82285,184003,2139409,0.046486,0
LOG-LOSA-85,LOG-LOSA-03,44254,65760,1371889,1512491,0,8
LOG-LOSA-85,LOG-LOSA-34,44254,51335,1371889,718692,0,3
LOG-LOSA-85,LOG-LOSA-53,44254,80212,1371889,1363597,0,4
LOG-LOSA-85,LOG-LOSA-64,44254,70652,1371889,8336927,0.096751415,0
LOG-LOSA-86,LOG-LOSA-07,108623,244146,868986,1953171,0.054459319,0
LOG-LOSA-86,LOG-LOSA-42,108623,0,868986,0,0.028481186,0
LOG-LOSA-87,LOG-LOSA-04,49548,79351,644128,317405,0.009611631,0
LOG-LOSA-87,LOG-LOSA-46,49548,108129,644128,3568271,0.030966675,0
LOG-LOSA-87,LOG-LOSA-49,49548,133292,644128,4931810,0.018429616,0
LOG-LOSA-87,LOG-LOSA-63,49548,104890,644128,2307581,0,6
LOG-LOSA-88,LOG-LOSA-04,81936,79351,1556785,317405,9.46E-07,0
LOG-LOSA-88,LOG-LOSA-46,81936,108129,1556785,3568271,0,1
LOG-LOSA-88,LOG-LOSA-52,81936,79062,1556785,158125,3.00E-06,0
LOG-LOSA-88,LOG-LOSA-65,81936,0,1556785,0,0.037912,0
LOG-LOSA-88,LOG-LOSA-66,81936,67578,1556785,202734,0.009202216,0
LOG-LOSA-88,LOG-LOSA-69,81936,44919,1556785,179675,9.46E-07,0
LOG-LOSA-89,LOG-LOSA-63,0,104890,0,2307581,0.009601798,0
LOG-LOSA-90,LOG-LOSA-0B,135773,0,2715467,0,0.287483256,0
LOG-LOSA-90,LOG-LOSA-0D,135773,0,2715467,0,0.212990534,0
LOG-LOSA-90,LOG-LOSA-19,135773,85069,2715467,6210051,0.412694572,0
LOG-LOSA-90,LOG-LOSA-65,135773,0,2715467,0,0.379708311,0
LOG-LOSA-91,LOG-LOSA-21,45427,44400,363416,133200,0.01994395,0
LOG-LOSA-91,LOG-LOSA-23,45427,41752,363416,167009,0.022898397,0
LOG-LOSA-91,LOG-LOSA-72,45427,135188,363416,22441252,0,6
LOG-LOSA-91,LOG-LOSA-79,45427,118934,363416,14509976,0.009732425,0
LOG-LOSA-92,LOG-LOSA-01,0,183972,0,183972,0.072462919,0
LOG-LOSA-92,LOG-LOSA-11,0,0,0,0,0.179175424,0
